Cód.,Unidade da Federação,1º trimestre 2018,2º trimestre 2018,3º trimestre 2018,4º trimestre 2018,1º trimestre 2019,2º trimestre 2019,3º trimestre 2019,4º trimestre 2019,1º trimestre 2020,2º trimestre 2022,3º trimestre 2022,4º trimestre 2022
11,Rondônia,2699,2663,2787,2719,2601,2622,2739,2709,2662,2658,2755,2900
12,Acre,2352,2401,2466,2476,2578,2544,2510,2595,2461,2641,2587,2538
13,Amazonas,2442,2439,2321,2277,2335,2288,2352,2294,2320,2258,2333,2409
14,Roraima,3185,3059,3011,2976,2935,3136,3146,2926,2995,2708,2602,2936
15,Pará,2109,2063,2096,2052,2082,2027,2093,2156,2113,2125,2217,2243
16,Amapá,2983,2773,2612,2653,2608,2599,2574,2589,2579,2453,2652,2760
17,Tocantins,2567,2609,2666,2567,2559,2539,2527,2508,2505,2602,2790,2784
21,Maranhão,1800,1827,1854,1896,1947,1798,1826,1840,1897,1803,1863,1899
22,Piauí,1901,1855,1828,1897,1976,1902,1820,1752,1815,1981,2207,2181
23,Ceará,2092,2119,2182,2135,2159,2212,2239,2231,2186,1971,2093,1947
24,Rio Grande do Norte,2304,2242,2144,2214,2275,2266,2376,2547,2581,2212,2147,2316
25,Paraíba,2172,2257,2224,2226,2256,2250,2212,2193,2158,2000,2233,2134
26,Pernambuco,2338,2356,2322,2289,2326,2342,2251,2272,2262,1959,2020,2216
27,Alagoas,2054,2104,2073,2239,2195,2212,2102,2052,2131,2064,2010,2018
28,Sergipe,2254,2149,2247,2191,2173,2131,2108,2048,2187,1992,2082,2132
29,Bahia,2160,2084,2117,2129,2074,2050,2026,2094,2167,1859,1889,1935
31,Minas Gerais,2731,2720,2688,2650,2657,2656,2636,2680,2710,2580,2723,2763
32,Espírito Santo,2892,2777,2893,2903,2967,2880,2933,2954,2969,2925,3016,3072
33,Rio de Janeiro,3348,3504,3523,3560,3626,3605,3672,3717,3790,3615,3625,3742
35,São Paulo,4067,4093,4071,4084,4046,4008,4014,4019,4143,3681,3759,3845
41,Paraná,3346,3312,3369,3441,3534,3403,3451,3471,3440,3183,3267,3333
42,Santa Catarina,3404,3369,3383,3425,3432,3394,3448,3464,3455,3344,3529,3506
43,Rio Grande do Sul,3316,3326,3274,3335,3404,3363,3376,3383,3363,3215,3434,3501
50,Mato Grosso do Sul,3180,3207,3251,3212,3299,3185,3150,3199,3101,3220,3348,3560
51,Mato Grosso,3294,3138,3218,3212,3206,3197,3121,3123,3169,3199,3418,3525
52,Goiás,2938,2924,2885,2936,2990,2888,2849,2873,2971,2775,2968,3085
53,Distrito Federal,5757,5488,5436,5587,5618,5329,5233,5460,5253,4951,5362,5175
