"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Cód.";"Unidade da Federação e Município";"Ano"
"Cód.";"Unidade da Federação e Município";"2018";"2019";"2020";"2021"
"11";"Rondônia";"1757589";"1777225";"1796460";"1815278"
"12";"Acre";"869265";"881935";"894470";"906876"
"13";"Amazonas";"4080611";"4144597";"4207714";"4269995"
"14";"Roraima";"576568";"605761";"631181";"652713"
"15";"Pará";"8513497";"8602865";"8690745";"8777124"
"16";"Amapá";"829494";"845731";"861773";"877613"
"17";"Tocantins";"1555229";"1572866";"1590248";"1607363"
"21";"Maranhão";"7035055";"7075181";"7114598";"7153262"
"22";"Piauí";"3264531";"3273227";"3281480";"3289290"
"23";"Ceará";"9075649";"9132078";"9187103";"9240580"
"24";"Rio Grande do Norte";"3479010";"3506853";"3534165";"3560903"
"25";"Paraíba";"3996496";"4018127";"4039277";"4059905"
"26";"Pernambuco";"9496294";"9557071";"9616621";"9674793"
"27";"Alagoas";"3322820";"3337357";"3351543";"3365351"
"28";"Sergipe";"2278308";"2298696";"2318822";"2338474"
"29";"Bahia";"14812617";"14873064";"14930634";"14985284"
"31";"Minas Gerais";"21040662";"21168791";"21292666";"21411923"
"32";"Espírito Santo";"3972388";"4018650";"4064052";"4108508"
"33";"Rio de Janeiro";"17159960";"17264943";"17366189";"17463349"
"35";"São Paulo";"45538936";"45919049";"46289333";"46649132"
"41";"Paraná";"11348937";"11433957";"11516840";"11597484"
"42";"Santa Catarina";"7075494";"7164788";"7252502";"7338473"
"43";"Rio Grande do Sul";"11329605";"11377239";"11422973";"11466630"
"50";"Mato Grosso do Sul";"2748023";"2778986";"2809394";"2839188"
"51";"Mato Grosso";"3441998";"3484466";"3526220";"3567234"
"52";"Goiás";"6921161";"7018354";"7113540";"7206589"
"53";"Distrito Federal";"2974703";"3015268";"3055149";"3094325"
"1100015";"Alta Floresta D'Oeste (RO)";"23167";"22945";"22728";"22516"
"1100023";"Ariquemes (RO)";"106168";"107863";"109523";"111148"
"1100031";"Cabixi (RO)";"5438";"5312";"5188";"5067"
"1100049";"Cacoal (RO)";"84813";"85359";"85893";"86416"
"1100056";"Cerejeiras (RO)";"16444";"16323";"16204";"16088"
"1100064";"Colorado do Oeste (RO)";"16227";"15882";"15544";"15213"
"1100072";"Corumbiara (RO)";"7567";"7391";"7220";"7052"
"1100080";"Costa Marques (RO)";"17855";"18331";"18798";"19255"
"1100098";"Espigão D'Oeste (RO)";"32047";"32374";"32695";"33009"
"1100106";"Guajará-Mirim (RO)";"45783";"46174";"46556";"46930"
"1100114";"Jaru (RO)";"51933";"51775";"51620";"51469"
"1100122";"Ji-Paraná (RO)";"127907";"128969";"130009";"131026"
"1100130";"Machadinho D'Oeste (RO)";"39097";"39991";"40867";"41724"
"1100148";"Nova Brasilândia D'Oeste (RO)";"20459";"20474";"20489";"20504"
"1100155";"Ouro Preto do Oeste (RO)";"36340";"36035";"35737";"35445"
"1100189";"Pimenta Bueno (RO)";"36434";"36660";"36881";"37098"
"1100205";"Porto Velho (RO)";"519531";"529544";"539354";"548952"
"1100254";"Presidente Médici (RO)";"19409";"18986";"18571";"18165"
"1100262";"Rio Crespo (RO)";"3723";"3764";"3804";"3843"
"1100288";"Rolim de Moura (RO)";"54702";"55058";"55407";"55748"
"1100296";"Santa Luzia D'Oeste (RO)";"6781";"6495";"6216";"5942"
